City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Kutulik,RU,53.35,102.78,78.98,46.0,44.0,0.98
Dingle,PH,11.0,122.67,88.3,66.0,44.0,3.98
Chililabombwe,ZM,-12.36,27.82,48.06,79.0,13.0,4.79
Sal Rei,CV,16.18,-22.92,77.0,73.0,40.0,10.29
Kaeo,NZ,-35.1,173.78,57.0,13.0,48.0,3.0
Pangani,TZ,-5.43,38.97,72.07,81.0,23.0,13.31
Hashimoto,JP,34.32,135.62,89.01,70.0,75.0,17.22
Nizwá,OM,22.93,57.53,89.02,47.0,88.0,3.6
Dicabisagan,PH,17.08,122.42,89.31,61.0,38.0,5.66
Port Blair,IN,11.67,92.75,86.61,68.0,100.0,4.85
Ulaangom,MN,49.98,92.07,76.69,33.0,7.0,5.41
Alta,NO,69.97,23.27,62.6,72.0,0.0,9.17
Khanbari,NP,27.37,87.2,83.93,62.0,90.0,2.33
Ajuchitlán,MX,20.72,-100.02,64.4,82.0,75.0,6.93
Yuncheng,CN,35.02,110.99,88.48,49.0,6.0,5.46
Opuwo,NA,-18.06,13.84,50.92,46.0,0.0,8.23
Noumea,NC,-22.28,166.46,82.4,51.0,2.0,8.05
Ashland,US,40.82,-82.27,75.2,83.0,1.0,5.82
Domoni,KM,-12.26,44.53,73.06,82.0,100.0,14.14
Sol'vychegodsk,RU,61.33,46.92,67.21,72.0,79.0,2.59
Leninsk,RU,48.71,45.2,77.0,36.0,0.0,8.95
Meridian,US,43.61,-116.39,75.0,46.0,1.0,0.78
Talnakh,RU,69.49,88.4,59.0,47.0,77.0,13.42
Grão Mogol,BR,-16.56,-42.89,57.7,100.0,23.0,3.44
Khilok,RU,51.37,110.47,62.22,91.0,100.0,2.35
Ust'-Karsk,RU,52.7,118.81,93.97,28.0,1.0,10.38
Inírida,CO,3.87,-67.92,73.06,98.0,100.0,2.71
Zhigansk,RU,66.77,123.37,55.51,58.0,68.0,11.25
Prestea,GH,5.43,-2.14,69.62,95.0,27.0,2.44
Lohr a. Main,DE,49.99,9.58,62.01,96.0,40.0,1.88
Grand Gaube,MU,-20.01,57.66,73.0,69.0,90.0,10.0
Kutum,SD,14.2,24.67,76.75,47.0,83.0,4.05
Sambava,MG,-14.27,50.17,70.18,84.0,100.0,13.65
Hay River,CA,60.82,-115.8,69.8,77.0,40.0,4.7
Key West,US,24.56,-81.78,82.4,78.0,90.0,23.04
San Jose de Guanipa,VE,8.89,-64.17,76.33,85.0,100.0,4.83
Mata,PT,40.68,-7.46,62.01,89.0,0.0,1.68
Qaqortoq,GL,60.72,-46.03,46.4,87.0,9.0,8.05
Suclayin,PH,15.76,121.55,90.48,58.0,19.0,5.99
Meulaboh,ID,4.14,96.13,85.73,62.0,98.0,4.74
Riachão das Neves,BR,-11.75,-44.91,63.52,75.0,2.0,2.95
Morant Bay,JM,17.88,-76.41,86.0,70.0,20.0,11.41
Oistins,BB,13.07,-59.53,82.06,80.0,62.0,15.35
Libreville,GA,0.39,9.45,75.2,88.0,20.0,8.05
Itaituba,BR,-4.28,-55.98,73.24,63.0,0.0,1.12
Quelimane,MZ,-17.88,36.89,59.0,100.0,75.0,3.89
Eureka,US,40.8,-124.16,57.0,100.0,34.0,0.58
Nosy Varika,MG,-20.58,48.53,65.21,73.0,1.0,3.02
Antsohihy,MG,-14.88,47.99,67.89,83.0,100.0,8.41
Burns Lake,CA,54.23,-125.75,62.76,56.0,0.0,5.23
Hebi,CN,35.9,114.19,82.0,61.0,64.0,9.17
Cayenne,GF,4.93,-52.33,75.2,100.0,29.0,2.24
Båtsfjord,NO,70.63,29.72,64.4,63.0,2.0,5.82
Muhos,FI,64.81,25.99,60.01,87.0,19.0,8.05
Ugoofaaru,MV,5.67,73.0,82.31,69.0,78.0,6.96
Joshīmath,IN,30.57,79.57,73.44,54.0,62.0,4.45
Vardø,NO,70.37,31.11,64.4,63.0,36.0,5.82
Azángaro,PE,-14.92,-70.22,30.54,79.0,13.0,0.87
Grand-Lahou,CI,5.14,-5.02,73.08,88.0,91.0,8.97
Anadyr,RU,64.75,177.48,78.8,54.0,0.0,6.71
Arman',RU,59.7,150.17,63.25,64.0,0.0,9.37
Alekseyevsk,RU,57.84,108.35,76.08,42.0,100.0,7.47
Mahon,ES,39.89,4.27,71.6,94.0,0.0,5.82
Chebarkul',RU,54.97,60.36,60.98,74.0,83.0,7.02
Namatanai,PG,-3.67,152.43,83.89,74.0,100.0,7.2
Sobolevo,RU,54.43,31.9,63.88,94.0,100.0,2.17
